epoch,train_loss,val_loss,accuracy,precision,recall,f1,auc
1,0.4594283638800161,0.45366642143457164,0.7938699898955878,0.39363241678726485,0.5849462365591398,0.47058823529411764,0.8133395169878732
2,0.3910011257597022,0.4388694539666176,0.8033007746716067,0.41607898448519043,0.6344086021505376,0.5025553662691652,0.8332586141743106
3,0.369189113450165,0.5059374390991145,0.7662512630515325,0.3780617678381257,0.7634408602150538,0.5056980056980057,0.8424009756432718
4,0.3544093712456356,0.37231937395308606,0.8305826877736612,0.4625984251968504,0.5053763440860215,0.4830421377183967,0.8388170325328935
5,0.3368001211164898,0.3909843990238764,0.8255304816436511,0.45813586097946285,0.6236559139784946,0.5282331511839709,0.8545913634958262
6,0.32485498028187865,0.45650039332848724,0.7945436173795891,0.41233373639661425,0.7333333333333333,0.5278637770897833,0.8530068020199938
7,0.20209662131891412,0.23908526107909217,0.9006399461098012,0.6496478873239436,0.7935483870967742,0.7144240077444337,0.9435492459376824
8,0.10548661639811197,0.25390870693472706,0.9013135735938026,0.6563636363636364,0.7763440860215054,0.7113300492610838,0.9394525748050431
9,0.06865359169925664,0.24372479827981944,0.9067025934658134,0.6620689655172414,0.8258064516129032,0.7349282296650718,0.9518482256346833
10,0.04738657589719607,0.2928351262233518,0.9073762209498147,0.6588628762541806,0.8473118279569892,0.7412982126058325,0.9515235837713422
11,0.03523191008770075,0.3140695671521513,0.8969349949477938,0.6514285714285715,0.7354838709677419,0.6909090909090909,0.9360446940808684
12,0.02891397239077851,0.27624558795658777,0.9211855843718424,0.7371663244353183,0.7720430107526882,0.7542016806722689,0.947861915558762
